sku,glb_http,glb_bytes,obj_http,obj_bytes,mtl_http,mtl_bytes,normalmap_http,normalmap_bytes
228103,200,1966240,200,5275478,200,801,200,579990
228108,200,1274508,200,4204167,200,452,200,580882
228162,200,1919840,200,20713972,200,222,200,142589
228150,200,1437556,200,5886788,200,448,200,40119
228203,200,1964296,200,5167035,200,448,200,548285
228208,200,1274508,200,4195144,200,450,200,248535
228250,200,2150312,200,8946122,200,443,200,384024
228262,200,2609900,200,10944631,200,447,200,115407
228152,403,111,403,111,403,111,403,111
228154,403,111,403,111,403,111,403,111
228252,403,111,403,111,403,111,403,111
228254,403,111,403,111,403,111,403,111
